Question,A,B,C,D,Answer
Khoa học là,Hệ thống hiểu biết về thế giới khách quan,Qui luật vận động của thế giới khách quan,Quá trình khám phá quy luật phát triển của thế giới khách quan,"Quá trình nghiên cứu nhằm khám phá ra những kiến thức mới, học thuyết mới",D
Hệ thống tri thức có.....mấy loại,2,3,4,5,A
Tri thức khoa học là :,"Nhận thức thế giới , phát triển kho tàng trí thức của nhân loại, mở mang kiến thức xã hội","Những hiểu biết thông qua việc nghiên cứu,học tập, những thói quen thường gặp trong cuộc sống",Những hiểu biết được tích lũy qua hoạt động sống hằng ngày trong mối quan hệ giữa người với người và người với thiên nhiên,Những hiểu biết được tích lũy một cách có hệ thống nhờ hoạt động nghiên cứu khoa học,D
Có......đặc điểm nghiên cứu khoa học :,9,7,8,5,A
"Phân loại NCKH theo tính chất sản phẩm nghiên cứu gồm các loại sau đây, ngoại trừ :",Nghiên cứu cơ bản,Nghiên cứu mô tả,Nghiên cứu triển khai,Nghiên cứu ứng dụng,B
Các vấn đề cơ bản của NCKH có.....vấn đề :,10,7,9,6,A
Tri thức kinh nghiệm là:,"Nhận thức thế giới,phát triển kho tàng trí thức của nhân loại,mở mang kiến thức xã hội","Những hiểu biết thông qua việc nghiên cứu,học tập,những thói quen thường gặp trong đời sống",Những hiểu biết được tích lũy qua hoạt động đời sống hằng ngày trong mối quan hệ giữa người với người và giữa người với thiên nhiên,Những hiểu biết được tích lũy một cách có hệ thống nhờ hoạt động nghiên cứu khoa học,C
"Nghiên cứu khoa học là hoạt động bao gồm các việc sau đây, ngoại trừ :",Thăm dò,Tìm kiếm,Xem xét,Điều tra hoặc thử nghiệm,A
"Nghiên cứu khoa học có các mục đích sau đây, ngoại trừ:","Nhận thức thế giới,phát triển kho tàng trí thức của nhân loại,mở mang kiến thức xã hội","Tạo ra công nghệ,nâng cao năng suất và trình độ văn minh cảu xã hội","Phát hiện cái mới,cái hay thay cho cái cũ,cái dở","Mở mang dân trí,nâng cao văn hóa xã hội,hoàn thiện con người",C
Trình tự NCKH có thể khái quát thành.......bước :,2,4,9,Tất cả đều sai,D
Nghiên cứu khoa học trong y học gồm.......nội dung,2,3,4,5,C
"Sau khi người nghiên cứu đã lựa chọn được một đề tài NCKH cho mình, muốn tiến hành nó thì trước hết phải.....",Tìm kiếm nguồn kinh phí,Thu thập số liệu,Xây dựng được bản đề cương NKKH,Thiết kế nghiên cứu,C
Nghiên cứu khoa học có các phương pháp chính là:,Nghiên cứu hồi cứu và tiến cứu,Nghiên cứu định tính và định lượng,Nghiên cứu qua sát và can thiệp,Nghiên cứu mô tả và cắt ngang,B
