Question,A,B,C,D,Answer
"1. Đốt cháy hoàn toàn 2,2 gam một alkan X thu 3,36 lít khí CO2 (đktc). CTPT của X?",CH4.,C2H6.,C3H8.,C4H10.,C
"2. Đốt cháy hoàn toàn 2,92 gam hh X gồm 2 alkan kế tiếp thu được H2O và 4,48 lít CO2 (đktc).Vậy X là :",CH4 và C2H6.,C2H6 và C3H8.,C3H8 và C4H10.,C4H10 và C5H12.,C
"3. Cho 2,84 gam một hỗn hợp 2 alcol đơn chức là đồng đẳng liên tiếp nhau tác dụng với Na vừa đủ, tạo ra 4,6 gam chất rắn và V lít khí H2 ở đktc. CTPT của 2 alcol trên là:",CH3OH và C2H5OH,C2H5OH và C3H7OH,C2H3OH và C3H5OH,C3H5OH và C4H7OH,A
4. CTCT của glycerol là:,HO-CH2-CHOH-CH2OH.,HO-CH2-CH2-OH.,HO-CH2-CHOH-CH3.,HO-CH2-CH2-CH2-OH.,A
"5. Khi lên men 360 gam glucose với hiệu suất 100%, khối lượng alcol ethylic thu được là:",92 gam.,184 gam.,138 gam.,276 gam.,B
"6. Đun nhẹ một acid carboxylic đơn chức X và một lượng vừa đủ 9,2 gam C2H5OH có acid H2SO4 đặc làm xt thu được 14,8 gam este. Tìm CTPT của X?",CH3COOH.,HCOOH.,CH3COOCH3.,C2H5COOH,B
7. So sánh tính acid của các chất sau đây? CH2Cl-CH2COOH (1); CH3COOH (2); HCOOH (3); CH3-CHCl-COOH (4),(3) > (2) > (1) > (4),(4) > (2) > (1) > (3),(4) > (1) > (3) > (2),(1) > (2) > (4) > (3).,C
"8. Sắp xếp các hợp chất: CH3COOH, C2H5OH và C6H5OH theo thứ tự tăng acid:",C2H5OH < CH3COOH < C6H5OH,C6H5OH < CH3COOH < C2H5OH,CH3COOH < C6H5OH < C2H5OH,C2H5OH < C6H5OH < CH3COOH,D
"9. Có thể dùng một chất nào trong các chất dưới đây để nhân biết được các chất: alcol ethylic, glycerol, alđehyd acetic đựng trong ba lọ mất nhãn?",Cu(OH)2.,Quỳ tím.,Kim loại Na.,dd AgNO3/NH3.,A
"10. Oxi hóa hoàn toàn 2,2 gam một aldehyd X đơn chức thu được 3 gam acid tương ứng. Công thức X:",HCHO.,C2H3CHO.,C2H5CHO.,CH3CHO.,D
"11. Cho 2,9 gam một aldehyd X phản ứng hoàn toàn với lượng dư AgNO3 trong dung dịch NH3 thu được 21,6 gam Ag. Công thức cấu tạo thu gọn của X là:",HCHO.,CH2=CH–CHO.,O=CH–CHO.,CH3CHO.,C
12. Dãy gồm các chất đều tác dụng với AgNO3 trong dung dịch NH3:,"alđehyd acetic, but–1-yn, ethilen.","alđehit acetic, acetilen, but-2-yn.","acid fomic, vinylaxetilen, propyn.","alđehyd fomic, acetilen, ethilen.",C
13. Chất thuộc loại carbohiđrat là :,ethanol,poly(vinyl clorid).,xenlulose.,glycerol.,C
14. Cặp chất nào sau đây không phải là đồng phân của nhau?,Mantose và saccarose.,Tinh bột và xenlulose.,Fructose và glucose.,Methyl fomat và acid acetic.,B
"15. Tinh bột, xenlulose, saccarose, mantose đều có khả năng tham gia phản ứng:",hòa tan Cu(OH)2.,trùng ngưng.,tráng gương.,thủy phân.,D
16. Saccarose và glucose đều có:,phản ứng với dung dịch NaCl.,phản ứng thủy phân trong môi trường acid,phản ứng với Cu(OH)2 ở nhiệt độ thường tạo thành dung dịch xanh lam.,"phản ứng với AgNO3 trong dung dịch NH3, đun nóng.",C
"17. Cho sơ đồ chuyển hóa: Glucose → X → Y → CH3COOH. Hai chất X, Y lần lượt là",C2H5OH và CH2=CH2.,CH3CHO và C2H5OH.,C2H5OH và CH3CHO.,CH3CH(OH)COOH và CH3CHO.,C
18. Nhỏ dd iot lên miếng chuối xanh thấy xuất hiện màu xanh tím là do chuối xanh có:,glucose.,saccarose.,tinh bột.,xenlulose.,C
"19. Trong công nghiệp để sản xuất gương soi và ruột phích nước, người ta cho dung dịch AgNO3 trong NH3 tác dụng với:",alđehyd fomic.,saccarose.,glucose.,acethilen.,C
20. Hai chất đồng phân của nhau là :,glucose và mantose.,fructose và glucose.,fructose và mantose.,saccarose và glucose.,B
"21. Cho 2,1 gam hỗn hợp X gồm 2 amin no, đơn chức, kế tiếp nhau trong dãy đồng đẳng phản ứng hết với dung dịch HCl (dư), thu được 3,925 gam hỗn hợp muối. Công thức của 2 amin trong hỗn hợp X là :",CH3NH2 và C2H5NH2.,C2H5NH2 và C3H7NH2.,C3H7NH2 và C4H9NH2.,CH3NH2 và (CH3)3N.,A
22. Sắp xếp các hợp chất sau đây theo thứ tự giảm dần tính bazơ: (1) C6H5NH2 (2) C2H5NH2 (3) (C6H5)2NH (4) (C2H5)2NH (5) NaOH (6) NH3,1 > 3 > 5 > 4 > 2 > 6.,5 > 4 > 2 > 1 > 3 > 6.,6 > 4 > 3 > 5 > 1 > 2.,5 > 4 > 2 > 6 > 1 > 3.,D
23. Dãy gồm các chất đều làm giấy quỳ tím ẩm chuyển sang màu xanh là:,"anilin, methyl amin, amoniac.","amoni clorid, methyl amin, natri hiđroxyd.","anilin, amoniac, natri hiđroxyd.","methyl amin, amoniac, natri acetat.",D
"24. Chất X có công thức phân tử C3H7O2N. X có thể tác dụng với NaOH, HCl và làm mất màu dung dịch brom. CTCT của X là:",CH2=CHCOONH4.,H2NCH2CH2COOH.,CH3CH(NH2)COOH.,CH3CH2CH2NO2.,A
25. Cặp alcol và amin nào sau đây cùng bậc?,(CH3)2CHOH và (CH3)2CHNH2.,(CH3)3COH và (CH3)3CNH2.,C6H5CH(OH)CH3 và C6H5NHCH3.,C6H5CH2OH và (C6H5)2NH.,C
"26. Để phân biệt 3 dd H2NCH2COOH, CH3COOH và C2H5NH2 chỉ dùng 1 thuốc thử :",Na kim loại.,dd NaOH.,quỳ tím.,dd HCl.,C
"27. Trong các tên gọi dưới đây, tên nào phù hợp với chất CH3–CH(CH3)–NH2?",Methylethylamin.,Ethylmethylamin.,Isopropanamin.,Isopropylamin.,D
"28. Trong các chất: C6H5CH2NH2, NH3, C6H5NH2, (CH3)2NH, chất có lực base mạnh nhất",NH3,C6H5CH2NH2,C6H5NH2,(CH3)2NH,D
"29. Trong các chất: C6H5NH2, C6H5CH2NH2, (C6H5)2NH, NH3 chất có lực base yếu nhất:",C6H5NH2,C6H5CH2NH2,(C6H5)2NH,NH3,C
"30. cho 7,5 gam acid aminoacetic (NH2-CH2-COOH) phản ứng hết với dung dịch NaOH. Sau phản ứng khối lượng muối thu được là bao nhiêu (H=1; C=12; O=16; Na=23)","9,7g","9,8g","7,9g","7,5g",A
31. Aspirin được tổng hợp từ:,Acid benzoic và ancol metylic.,Acid salicylic và anhidric acetic.,Acid salicylic và aldehyd acetic.,Phenol và anhidric acetic.,B
32. Dãy sắp xếp theo chiều tăng dần tính base :,methyl amin < ethyl amin < anilin.,anilin < methyl amin < amoniac.,methyl amin < dimethyl amin < trimethyl amin.,anilin < amoniac < ethyl amin.,D
"33. Cho sơ đồ chuyển hóa: + o 3 3 4 + CH Cl, AlCl Benzen⎯⎯⎯⎯⎯→X⎯+⎯ KM⎯nO⎯;H⎯,t →Y . Y là:",Acid benzoic.,Acid adipic.,Toluen.,Kali benzoat.,A
34. Công thức cấu tạo dạng mạch hở của glucose là:,.,.,.,.,Cần kiểm tra (mất hình/công thức)
"35. Trong các tên gọi dưới đây, tên nào phù hợp với chất C6H5-CH2-NH2?",Phenylamin.,Benzylamin.,Anilin.,Phenylmetylamin.,B
"36. Có 3 chất lỏng benzen, anilin, stiren, đựng riêng biệt trong 3 lọ mất nhãn. Thuốc thử để phân biệt 3 chất lỏng trên là:",dd phenolphtalein.,dd Br2,dd NaOH.,quì tím.,B
37. Anilin (C6H5NH2) và phenol (C6H5OH) đều có phản ứng với:,dd NaCl.,dd HCl.,dd Br2.,dd NaOH,C
"38. Cho 5,9 gam C3H7NH2 tác dụng vừa đủ với axit HCl. Khối lượng muối thu được:","8,15 gam.","9,65 gam.","8,10 gam.","9,55 gam",D
39. Dehydrat hóa 2-methylpentan-3-ol thu được sản phảm chính là:,2-methylpen-2-en.,3-methylpen-2-en.,2-methylbut-2-en.,3-methylpent-3-en.,A
40. có danh pháp thay thế của hợp chất là :,pent-3-en-3-ol.,2-methylpent-4-en-1-ol.,1-methylbut-2-en-1-ol.,pent-3-en-2-ol.,Cần kiểm tra (mất hình/công thức)
41. Sản phẩm của phản ứng LiAlH4 2 CH =CH-CH=O⎯⎯⎯→,CH3−CH2−CH2−OH.,CH3−CH2−COOH.,CH2=CH−CH=O.,CH2=CH−CH2−OH.,D
42. Hãy sắp xếp các chất sau đây theo trật tự tăng dần tính base : (1) amoniac; (2) anilin; (3) ethylamin; (4) điethylamin; (5) Kali hiđroxyd.,(2) < (1) < (3) < (4) < (5).,(1) < (5) < (2) < (3) < (4).,(1) < (2) < (4) < (3) < (5).,(2) < (5) < (4) < (3) < (1).,A
"43. Đốt cháy hoàn toàn 7,4 gam một amin thu được 6,72 lít khí CO2 (đkc) và 9 gam H2O. CTPT của amin là:",C2H5N.,C3H9N.,C3H10N2.,C3H8N2.,C
"44. Đốt cháy hoàn toàn hỗn hợp hai amin no, đơn chức, mạch hở là đồng đẳng liên tiếp thu được 2,24 lít khí CO2 ( ở đktc) và 3,6 gam H2O. CTPT của hai amin là:",CH3NH2 và C2H5NH2.,C2H5NH2 và C3H7NH2.,C3H7NH2 và C4H9NH2.,C4H9NH2 và C5H11NH2,A
"45. Trong các hợp chất sau, hợp chất nào không lưỡng tính?",Amino acetat.,Lizin.,Phenol.,Alanin.,C
46. Cho sơ đồ phản ứng : CH3 -I CH3 -I 3 2 CH NH ⎯⎯⎯→X⎯⎯⎯→Y. Tên gọi gốc – chức của Y :,trimethylamin.,ethylmethylamin.,propylamin.,methylamoni iodid.,A
47. Cho 4 dung dịch sau: glixerol; andehyde acetic và alcol ethylic. Thuốc thử nào sau đây có thể nhận biết cả 3 dung dịch?,dung dịch Br2/CCl4.,dung dịch AgNO3/NH3.,Cu(OH)2/NaOH.,dung dịch thuốc tím.,C
48. Cho phản ứng: . Sản phẩm của phản ứng là:,methylethyl ceton và acealdehyd.,ethylmethyl ceton và acid acetic.,ethylmethyl ceton và acetaldehyd.,dimethyl ceton và acealdehyd.,Cần kiểm tra (mất hình/phản ứng)
49. Acid benzoic tác dụng với Br2 (bột P xúc tác) thu được sản phẩm:,.,.,.,.,Cần kiểm tra (mất hình/công thức)
50. Methylvinyl ether là tên gọi gốc – chức của chất nào sau đây ?,CH3−O−CH3.,CH2=CH−O−CH3.,CH≡C−O−CH3.,CH3−CH(CH3)−O−CH3.,B
51. Khung hợp chất hữu cơ là cấu trúc cơ bản của hợp chất thiên nhiên:,steroid.,alkaloid.,terpenoid.,flavonoid.,Cần kiểm tra (mất hình khung)
52. Paracetamol (acetaminophen) được tổng hợp từ hoạt chất p-aminophenol và anhydric acetic trong môi trường kiềm. CTPT của paracetamol là :,C8H9NO2.,C9H8N O2.,C9H8NO3.,C8H10NO2.,A
53. Cặp alcol và amin nào sau đây có cùng bậc:,C2H5OH và CH3- NH- CH3,CH3-OH và (CH3)3N,(CH3)3C-OH và (CH3)3 – C – NH – CH3,CH3OH và CH3NH2.,D
54. Đun nóng hỗn hợp gồm 2 alcol: A-OH; B-OH với H2SO4 đặc ở 140oC thì thu được tối đa mấy ether ?,3,4.,5.,6.,A
