Question,A,B,C,D,Answer
Bức xạ vùng UV- Vis chia thành mấy vùng nhỏ?,01 vùng,02 vùng,03 vùng,Tất cả đều sai,C
Bức xạ vùng UV- Vis gồm vùng nhỏ nào?,Vùng tử ngoại chân không,Vùng tử ngoại gần,Vùng khả kiến,Tất cả đều đúng,D
Vùng tử ngoại chân không có bước sóng từ...?,l = 50 -200nm,l = 200 – 375nm,l = 375 – 800nm,Tất cả đều sai,A
Vùng tử ngoại chân không còn gọi là....?,UV xa,UV gần,Vis,Tất cả đều đúng,A
Vùng tử ngoại gần còn gọi là....?,UV xa,UV gần,Vis,Tất cả đều đúng,B
Vùng khả kiến còn gọi là....?,UV xa,UV gần,Vis,Tất cả đều đúng,C
Bộ phận số (1) và (3) là bộ phận gì?,Đèn nguồn + cốc chứa dung dịch đo,Cách tử hay lăng kính,Bộ phận phát hiện (tế bào quang điện) ;,Bộ phận khuếch đại và máy ghi tín hiệu,A
Bộ phận số (5) và (6) là bộ phận gì?,Đèn nguồn + cốc chứa dung dịch đo,Cách tử hay lăng kính,Bộ phận phát hiện (tế bào quang điện) ;,Bộ phận khuếch đại và máy ghi tín hiệu,D
Quang phổ UV –Vis có thể dùng để,Định tính,Định lượng,A và B đều đúng,A và B đều sai,C
Bộ phận (1) và (2 )là bộ phận gì?,dung Bình chứa môi + Bộ phận khí khử khí,Bình chứa dung môi + Hệ thống bơm cao áp,Bộ phận khử khí + Lọc tiền cột,Lọc tiền cột + Đầu dò,
Bộ phận (6) và (8) là bộ phận ?,Cột sắc kí + Bộ phận xử lý và ghi tín hiệu,Cột sắc kí + Đầu dò,Bộ khử khí + Cột sắc ký,Bộ phận xử lý và ghi tín hiệu + Đầu dò,
Viên nén thử độ đồng đều khối lượng và đồng đều hàm lượng được thực hiện cùng 01 lúc khi và chỉ khi:,viên nén có hàm lượng hoạt chất dưới 2 mg.,viên nén có hàm lượng hoạt chất dưới 2% (kl/kl).,A và B đều đúng.,A và B đều sai.,
